gene	13-IC	13-N	16-M	16-N	1-IC	1-N	1-IF	20-IC	20-M	20-IF	22-IC	22-N	22-IF	23-N	26-M	26-IF	28-M	28-N	2-IC	44-IC	44-M	44-N	44-IF	47-IC	47-N	47-IF	54-IC	54-N	54-IF	56-IC	56-M	56-N	56-IF	58-IC	58-N	58-IF	59-IC	59-N	59-IF	61-IC	61-IF	63-IC	63-N	63-IF	64-IC	64-M-2	64-M	64-N	64-IF	65-IC	65-N	65-IF	69-M	69-N	69-IF	6-IC	6-N	6-IF
ENSG00000186522	5.729009	5.76686	5.457463	5.707083	5.357552	5.054414	5.35931	5.684538	5.229588	5.631686	5.311067	5.885086	5.549053	6.123294	5.426936	5.263034	5.589763	5.155021	5.41515	6.065228	5.198494	6.621026	6.180506	6.371733	6.537917	6.274634	6.62527	6.167519	6.291125	5.945795	6.130931	5.992089	4.96116	5.742815	5.501121	5.684819	7.070711	6.807741	6.891055	5.736334	5.904243	6.434461	6.785158	6.288174	6.342697	5.794156	6.205744	5.740118	6	5.851499	6.771622	5.98982	5.441948	6.104546	6.080018	5.786596	6.308521	5.733625
ENSG00000162814	0.400538	0.356144	0.847997	0	0.575312	0.163499	0.799087	0.201634	0.201634	0.214125	0.704872	0.137504	0.748461	0	0.201634	0.263034	0.475085	0.056584	1.718088	1.189034	0.978196	0.31034	0.464668	0.632268	0	0	0.214125	0.356144	0.321928	1.042644	1.232661	0.137504	0.422233	0.536053	0.356144	0.422233	0.516015	0.214125	0.831877	0.056584	0.124328	2.025029	0.163499	1.541019	0.014355	0.516015	0	0.713696	0.344828	0.15056	0.516015	0.137504	1.238787	0	0.367371	1.405992	0.356144	0.333424
ENSG00000169379	2.347666	1.831877	2.381283	2.035624	4.584361	1.803227	5.558574	3.049631	1.709291	2.604071	2.558268	2.403268	3.215679	2.211012	3.307429	1.589763	2.121015	2.104337	3.435629	2.87578	3.087463	1.782409	2.720278	4.280956	2.748461	4.060047	3.063503	2.82985	1.627607	3.063503	3.190615	1.85599	2.508429	2.592158	2.032101	2.939227	2.094236	2.367371	2.650765	2.448901	2.711495	2.904966	2.358959	2.643856	1.632268	2.983678	1.944858	2.744161	2.611172	2.831877	2.794936	1.704872	3.390943	2.922198	3.438293	2.472488	1.95977	2.881665
ENSG00000167487	2.166715	1.117695	0.970854	2.488001	2.185867	1.937344	0.978196	1.790772	1.214125	1.454176	1.238787	1.226509	1.304511	1.709291	1.646163	1.201634	1.195348	1.778209	1.41684	1.819668	1.879706	1.443607	0.356144	0.678072	0.378512	0.910733	0.613532	0.378512	1.526069	1.922198	1.835924	1.443607	1.555816	1.739848	0.887525	1.411426	1.803227	1.014355	1.316146	0.963474	0.731183	1.589763	1.269033	0.765535	1.62293	2.07382	1.469886	1.887525	1.62293	1.367371	1.31034	1.516015	0.286881	1.077243	1.22033	1.757023	1.411426	1.157044
ENSG00000153048	4.896756	4.535431	4.297925	3.617063	4.876271	3.385431	4.068671	4.458776	4.432959	4.366672	4.261531	4.872829	4.475085	4.638653	3.496974	3.650765	4.770829	4.161081	4.240314	4.884598	3.423578	5.169123	4.786074	3.012569	4.393004	2.946731	4.494416	3.917432	5.759955	4.968552	4.901591	4.464015	3.883621	5.280956	4.152995	5.09508	5.631686	5.052242	5.446918	5.262283	5.794416	5.283922	4.93121	4.97407	5.036943	4.259272	4.608218	4.494416	5.948134	6.220136	5.069101	6.078097	4.865919	4.320485	6.399855	2.95977	4.465322	2.845992
ENSG00000134363	5.099716	2.372952	3.618239	1.95977	4.649041	1.687061	5.365623	6.957799	3.683696	5.033863	3.808385	0.790772	3.412782	1.636915	3.934517	2.253989	4.672991	2.715893	2.201634	6.297925	2.454176	2.381283	5.817367	3.405992	2.467279	2.137504	4.296457	1.469886	3.626439	6.949535	4.237258	2.124328	4.560715	5.261531	3.548437	5.383704	2.189034	2.563158	1.580145	3.046142	4.060912	4.512227	1.669027	4.633431	5.988912	4.836429	3.667892	2.477677	4.637494	3.082362	1.735522	3.840967	6.472163	4.646739	5.258519	2.729009	1.480265	2.321928
ENSG00000187682	0	0	0	0	0.124328	0.084064	0	0	0	0	0	0	0	0.097611	0.201634	0	0	0	0	0	0	0	0	0	0	0	0	0.124328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097611	0	0.250962	0	0.176323	0	0	0	0	0	0.111031	0	0	0	0
ENSG00000129472	4.278728	4.079805	4.447579	4.173927	4.736605	3.44228	4.74685	4.734981	4.861955	4.545351	3.569248	3.255501	4.703211	4.117695	4.524816	2.918386	4.69265	4.204767	4.740928	4.537917	4.18428	3.810443	4.20085	4.55888	3.838952	4.405992	4.538538	4.436961	4.015248	4.127633	4.279471	3.900142	4.32625	3.498251	3.526069	3.701549	4.566206	3.991862	4.513491	4.039138	4.01614	4.06264	3.951401	4.098453	3.701549	4.181898	3.966246	3.922198	3.969012	3.782409	3.981853	3.792855	3.69933	3.842979	3.57289	4.169925	3.856986	4.066089
ENSG00000099810	5.032542	4.335569	4.766595	3.411426	4.498889	3.80426	4.554589	5.233811	4.522935	5.338781	3.427606	3.766595	4.121844	4.597531	3.424922	3.305971	5.286512	4.133399	1.863938	6.047233	4.108524	4.202418	6.005175	3.15056	4.883621	1.395063	5.065228	4.657068	4.678072	6.051807	5.291309	4.177918	4.780835	5.256633	3.451541	5.387845	4.833396	4.130107	5.100978	5.357552	5.330917	5.377124	4.262283	5.457791	4.651339	4.801676	4.795975	4.398487	4.433627	5.219943	4.754888	4.993674	5.377818	5.446256	5.884354	3.946731	4.100978	3.536053
ENSG00000214940	4.503985	3.708187	3.82273	3.843984	2.080658	0.495695	0	1.395063	0.226509	0	3.595742	3.787641	4.297191	4.108524	0.815575	1.782409	0	1.937344	4.622345	0	2.536053	0.454176	2.375735	5.226894	4.189825	4.751142	0	2.084064	1.996389	0	0.536053	0	0	0	0	0	0.613532	0.286881	0	3.946731	3.411426	3.642702	3.537296	3.28244	0.765535	0	0	0.495695	1.157044	0.226509	2.565597	0.9855	1.769772	3.144046	2.229588	1.526069	1.427606	0
