gene	13-IC	13-N	16-M	16-N	1-IC	1-N	1-IF	20-IC	20-M	20-IF	22-IC	22-N	22-IF	23-N	26-M	26-IF	28-M	28-N	2-IC	44-IC	44-M	44-N	44-IF	47-IC	47-N	47-IF	54-IC	54-N	54-IF	56-IC	56-M	56-N	56-IF	58-IC	58-N	58-IF	59-IC	59-N	59-IF	61-IC	61-IF	63-IC	63-N	63-IF	64-IC	64-M-2	64-M	64-N	64-IF	65-IC	65-N	65-IF	69-M	69-N	69-IF	6-IC	6-N	6-IF
ENSG00000117152	1.526069	1.321928	2.358959	0.389567	2.771886	1.531069	2.411426	3.040892	1.673556	1.613532	0.956057	0.389567	0.263034	0.879706	2.485427	0.83996	2.24184	0.097611	2.422233	3.30305	1.570463	1.070389	3.544733	2.432959	0.584963	1.22033	2.435629	0.475085	1.929791	3.295723	1.70044	1.007196	2.629939	0.584963	1.604071	0.831877	3.628774	0.970854	3.358959	1.275007	1.137504	2.861955	2.049631	2.31904	1.794936	3.276497	1.906891	0.863938	1.570463	0.367371	1.077243	0.773996	2.914565	1.790772	1.042644	0.464668	0.516015	0.263034
ENSG00000179632	3.986411	3.643856	4.206331	3.548437	4.451541	3.566815	4.631104	4.329124	4.116864	4.293518	3.863938	3.542258	4.19456	3.876762	4.695437	4.275007	4.487358	3.670161	4.892391	4.354734	3.963474	3.843984	4.825277	3.594549	3.169925	3.430285	3.722466	3.493135	3.569248	5.06652	4.860466	3.966246	4.613532	4.22265	3.773996	4.413459	4.608809	4.036503	4.86839	4.183487	4.229588	3.992768	3.726831	4.067811	3.884598	4.075533	3.85997	3.641546	4.177121	4.24184	3.830864	3.88655	4.484138	3.468583	4.358959	4.436961	3.905928	4.097611
ENSG00000127314	7.681309	7.565978	8.085233	7.004614	8.004558	6.689299	7.783849	8.691744	8.038974	8.604998	7.337354	6.572738	7.907852	7.533252	8.208234	6.467116	8.073606	7.258896	8.464464	8.549977	8.208917	7.079165	8.264583	8.783522	7.499607	8.039413	8.412993	7.783588	8.109883	8.155122	8.183933	6.903761	8.015359	8.58391	7.370426	8.606775	7.959538	7.230645	8.308066	7.935283	7.800123	7.970394	6.900021	7.804066	8.26341	8.736537	8.299712	7.776894	8.20232	8.337265	7.219265	8.485427	8.214611	8.656568	8.196823	8.479255	7.428444	8.243174
ENSG00000170390	0.933573	0.879706	0.963474	1.448901	1.570463	0.903038	0.83996	0.650765	0.799087	1.244887	0.495695	0.422233	1.077243	1.063503	1.084064	0.613532	1.042644	0.505891	2.370164	0.941106	2.07382	0.748461	0.823749	0.978196	0.526069	0.097611	0.695994	0.895303	0.604071	1.189034	0.650765	0.933573	1.367371	0.389567	1.189034	0.378512	1.536053	0.815575	1.454176	1.157044	0.650765	0.9855	1.042644	1.389567	0.432959	1.244887	0.650765	1.238787	0.704872	0.378512	0.650765	0.536053	0.485427	1.263034	0.389567	0.887525	0.815575	0.773996
ENSG00000104872	2.948601	3.61471	3.864929	3.824768	3.8166	3.092546	3.705978	2.903038	3.82069	3.683696	3.132577	3.846995	4.053111	3.788686	4.498251	2.957915	4.090007	3.424922	3.838952	3.41819	2.942984	4.020591	3.80426	2.817623	3.100978	2.937344	3.548437	2.889474	3.033863	4.536053	3.858976	3.249445	3.857981	4.398487	3.77926	4.083213	4.598722	4.289097	4.495695	3.954196	4.107688	3.346248	4.008092	3.879706	4.308885	3.582556	4.244887	3.731183	3.799087	4.137504	4.217231	4.265287	3.179511	2.946731	3.812498	3.794936	3.232661	3.765535
ENSG00000182199	6.517906	5.230741	4.752213	4.259272	4.757023	3.49057	5.070389	5.893605	5.322649	5.387156	4.179511	3.655352	5.009885	4.432291	5.950002	3.544733	5.458776	5.011675	6.597531	5.490249	4.110196	4.3875	5.321567	4.988685	4.157852	4.766595	4.196135	3.910733	3.818646	5.704042	5.233044	4.251719	4.871844	6.786466	4.792335	6.881053	5.758356	4.833396	5.449561	5.499846	5.584662	4.509062	4.198494	4.65764	4.939697	4.8885	4.305971	3.964399	4.520422	5.238787	4.456806	5.31143	4.95745	3.790772	5.314697	5.347311	4.844988	5.096768
ENSG00000143452	2.482848	2.01078	2.967169	2.553361	2.817623	0.536053	2.879706	2.295723	1.111031	2.166715	0.137504	0.31034	0.62293	0.367371	3.257011	0	0.831877	0	4.397118	2.41684	0.903038	2.327687	2.438293	3.847997	2.247928	3.330558	4.818646	4.122673	4.356144	3.432959	3.144046	2.087463	1.891419	2.969012	1.097611	2.922198	2.895303	3.023255	3.539779	0.176323	0.454176	0	0.495695	0	0	1.510962	0.704872	0	0.238787	2.857981	2.776104	2.972693	0.389567	0.443607	0	0	2.643856	0.201634
ENSG00000115590	3.995485	5.794936	3.566815	2.226509	4.403268	2.750607	2.99458	4.163499	3.709291	3.838952	3.494416	3.830864	5.513807	5.344828	4.06695	4.397803	5.019702	4.578939	2.195348	4.018812	3.374344	5.842476	3.307429	4.82273	4.749534	4.65764	4.687061	5.328406	5.949068	3.502076	2.313246	3.723559	2.144046	3.122673	3.374344	2.737687	4.508429	5.06996	3.693766	3.419539	5.622638	4.825786	3.347666	2.655352	3.017922	3.401903	2.039138	2.691534	4.598722	4.738227	3.878725	5.272023	4.096768	7.134221	4.320485	0.933573	4.609991	1.650765
ENSG00000122136	0	0	0.545968	0	0.344828	0	0.333424	0.344828	0.321928	0.575312	1.263034	0	0.356144	0	0	0	0.505891	0	0.739848	0.485427	0	0	0.344828	0.321928	0	0	0	0	0	1.157044	0	0	0.613532	0.124328	0	0.226509	0.659925	0	0	0	0	0	0	0.176323	0.298658	0.659925	0	0	0	0	0	0	0	0	0	0.286881	0	0
ENSG00000183579	2.589763	1.735522	1.794936	2.477677	1.871844	1.350497	1.794936	1.526069	1.238787	2.160275	1.286881	1.83996	1.49057	2.140779	2.634593	1.510962	1.269033	1.83996	2.356144	1.516015	1.823749	1.275007	2.053111	1.925999	1.618239	1.765535	1.372952	1.226509	1.389567	2.163499	2.053111	1.85997	1.85997	1.485427	1.480265	1.541019	1.794936	1.843984	1.835924	1.823749	1.867896	1.62293	2.589763	1.790772	1.516015	1.207893	1.298658	1.454176	1.292782	1.613532	2.003602	1.627607	0.970854	1.526069	1.286881	2.427606	1.521051	2.283922
ENSG00000136810	7.575993	7.683135	6.929554	7.003827	6.715756	6.44145	7.089265	7.512069	6.843356	7.671506	6.779916	7.528728	7.070711	8.452488	6.135042	8.439041	7.435295	8.51428	8.032982	7.811856	5.503667	10.140178	7.75141	7.275286	8.998562	7.349171	7.570159	8.319356	7.167719	7.120393	6.513491	8.339226	5.982994	8.48079	5.947199	8.593653	7.623808	8.951634	7.89839	8.312747	9.129875	8.6522	9.320078	8.495295	8.541368	7.356144	7.793376	8.295493	8.272536	7.847559	9.15535	9.338736	7.377124	9.854354	8.14272	8.28965	8.793831	8.505057
ENSG00000168676	0.028569	0.137504	0.056584	0.097611	0.613532	0.163499	0.454176	0	0.111031	0.400538	0.028569	0.189034	0.056584	0.111031	1.014355	0.042644	0.111031	0.056584	0.070389	0.163499	0.189034	0.070389	0.028569	0.084064	0.028569	0.056584	0.111031	0.028569	0.056584	0.344828	0	0.070389	0.526069	0.042644	0.15056	0.056584	0.028569	0.344828	0.263034	0.056584	0.070389	0.111031	0.389567	0.042644	0	0.189034	0.056584	0.389567	0.056584	0.189034	0.084064	0.042644	0.028569	0.748461	0.056584	0.641546	0.15056	0.250962
ENSG00000154639	4.363171	5.059615	3.482848	4.428276	4.379898	2.495695	4.701549	4.409391	3.632268	4.408712	4.732269	3.9241	4.971314	5.687061	3.458119	2.91265	3.532317	3.50716	4.661065	3.019702	0.443607	4.192194	3.089159	4.36247	4.489928	4.454834	5.279843	5.194954	5.045705	2.754888	3.166715	3.375735	1.280956	4.782409	2.835924	4.684819	5.925287	4.440288	5.126395	4.401221	3.815575	3.38405	5.214513	2.989139	5.285032	3.046142	5.330917	4.708739	5.208283	5.185867	4.349082	4.916954	3.403268	3.087463	4.777157	4.718088	4.1127	4.98823
ENSG00000160446	3.963474	3.464668	3.314697	2.289834	3.78031	1.941106	3.823749	4.191405	4.140779	3.969012	3.368768	2.910733	3.927896	3.605257	3.805292	2.659925	3.929791	3.155425	4.169925	4.844486	2.389567	3.714795	4.987776	2.778209	3.125982	2.521051	3.569248	2.260026	2.899176	4.41007	4.393691	3.267536	3.650765	4.454834	2.720278	4.593951	4.326969	3.612352	3.995485	4.149747	4.125982	4.577731	3.547203	4.53294	4.011675	3.701549	3.742006	3.272023	3.876762	4.342697	3.320485	4.166715	4.185074	3.0268	3.92505	3.41819	3.246408	3.38405
ENSG00000013810	4.465974	2.641546	3.397803	1.244887	3.196922	1.405992	3.731183	3.253989	2.91265	3.171527	2.353323	2.392317	3.078951	2.664483	3.529821	1.292782	3.408712	2.124328	4.495695	4.125982	2.094236	2.521051	4.065228	3.204767	2.137504	3.137504	3.267536	1.608809	2.480265	3.127633	3.02148	1.761285	3.360364	4.603478	2.430285	4.542877	4.528571	2.78031	4.050502	3.252476	3.674687	3.455492	2.007196	3.571677	3.960697	3.89724	3.173127	2.327687	3.358959	3.64039	2.330558	3.313246	3.709291	1.87578	3.223423	2.693766	2.769772	2.298658
ENSG00000110628	2.02148	2.321928	3.337711	2.863938	2.809414	1.632268	2.395063	2.451541	2.07382	1.757023	2.493135	1.448901	2.89724	3.215679	2.813525	2.370164	1.95977	2.451541	2.592158	3.145677	2.31904	2.608809	3.145677	1.970854	2.558268	1.918386	2.114367	2.397803	1.678072	2.500802	2.347666	2.627607	1.85599	4.05398	2.655352	4.096768	3.336283	3.147307	2.91265	2.550901	2.22033	2.375735	2.655352	2.698218	3.107688	2.843984	3.867896	2.801159	2.750607	2.739848	2.823749	2.341986	2.887525	2.9241	3.124328	2.361768	3.014355	2.134221
ENSG00000172292	4.925525	3.613532	4.436961	3.818646	4.289834	2.72465	4.788164	5.399855	4.289097	4.938756	4.116864	3.711495	4.473787	3.926948	4.645586	3.608809	4.478325	4.032982	4.938286	5.157044	3.697107	4.436961	5.415488	5.203984	4.221104	4.97728	4.948601	4.395748	4.65019	5.064797	5.218781	3.707083	4.488001	4.372256	3.740928	4.503349	4.311067	4.19928	4.279471	3.980025	3.766595	4.314697	3.999098	4.161081	4.366672	4.342697	4.401221	3.841973	3.867896	3.561937	4.211012	3.681449	4.662775	4.358959	4.382667	5.263034	4.007196	5.082788
ENSG00000077238	5.033423	5.758356	6.159871	4.646739	5.96463	4.505256	5.659925	6.209258	6.17971	5.741467	5.180307	5.827565	5.831371	6.085127	5.623808	3.68594	6.016808	5.137094	5.435629	6.053763	6.157044	5.706254	5.81839	4.590362	5.040454	4.382667	5.603478	5.441948	5.69488	6.824004	6.806582	5.429616	5.904484	6.374692	5.544114	6.472325	6.605702	4.923149	6.216067	5.096768	5.539469	6.34979	4.297925	6.321567	6.609253	6.355263	6.172528	5.253611	6.723968	6.675393	4.853996	6.601548	5.829342	6.328944	6.469723	3.69265	5.254367	3.279471
ENSG00000249751	2.347666	2.99458	1.526069	2.545968	1.941106	3.124328	2.301588	1.669027	1.87578	0.863938	0.963474	1.545968	2.22033	2.430285	1.411426	2.82985	1.555816	1.584963	0	2.286881	3.596935	2.147307	1.752749	0	2.214125	0	1.137504	3.090853	1.350497	1.731183	1.735522	1.967169	3.187451	1.395063	3.455492	1.014355	1.613532	2.541019	1.726831	2.353323	2.662205	1.62293	2.475085	1.867896	0.978196	2.620586	0.85599	3.142413	2.195348	1.070389	2.477677	1.778209	1.550901	1.275007	1.673556	0.815575	2.713696	1.22033
ENSG00000153107	4.418865	3.702658	3.508429	4.093391	3.889474	2.922198	4.229588	3.092546	3.308885	3.478972	3.01614	3.64501	3.778209	3.917432	4.435629	3.144046	3.802193	3.962549	4.522935	3.869871	3.486714	3.541019	3.923149	4.130107	3.633431	3.738768	3.493135	3.687061	3.106013	4.363171	4.072106	3.538538	4.121015	4.008092	3.500802	4.177121	4.475085	3.679199	4.569248	3.636915	4.07382	4.111031	3.683696	4.374344	4.203984	3.913608	3.684819	3.503349	3.80426	3.815575	3.755956	3.799087	3.606442	3.519793	3.482848	4.466627	3.675816	4.474436
ENSG00000163995	1.014355	2.782409	1.570463	3.788686	4.395063	5.367371	3.104337	1.748461	1.411426	3.95977	2.765535	4.105175	2.739848	3.368768	2.257011	5.313246	0.887525	3.267536	1.584963	3.360364	3.576522	3.80426	3.666757	2.007196	3.715893	1.485427	1.560715	2.899176	2.397803	2.761285	1.761285	4.438293	5.880686	1.137504	5.108943	1.104337	4.321207	3.569248	3.725741	1.95977	1.937344	1.31034	3.877744	0.895303	1.111031	0.411426	1.263034	2.974529	1.475085	2.746313	3.989139	2.698218	2.353323	2.87578	3.207893	0.871844	2.887525	1.117695
ENSG00000070610	4.008989	4.3067	4.32553	4.392317	4.285402	3.714795	4.106851	4.247928	4.269033	4.725741	3.582556	3.996389	4.657068	4.201634	4.926474	3.939227	4.674687	4.266787	4.100978	4.433627	4.263034	4.047887	4.566206	4.181103	3.869871	3.840967	4.106013	3.915521	3.938286	4.737146	4.761285	4.071248	4.666188	4.127633	3.933573	4.098453	5.575312	4.210233	5.024586	5.180307	4.893848	4.843984	4.550285	5.098453	4.235727	4.41819	4.379205	4.205549	4.304511	4.844988	4.242603	5.050066	5.817112	4.250962	5.683416	4.060047	3.589763	3.803227
ENSG00000162267	0.286881	1.722466	0.464668	1.090853	0.739848	2.298658	0.956057	1.526069	0.903038	0.713696	0.298658	0.475085	0.757023	0.790772	1.778209	1.144046	0.565597	0.613532	0.070389	0.659925	1.584963	1.077243	0.070389	0.695994	0.333424	0	0.321928	0.956057	0.163499	1.137504	1.292782	0.83996	2.056584	0.275007	1.028569	0	1.104337	0.903038	0.495695	0.475085	0.485427	0.565597	1.38405	0.871844	0.475085	1.432959	0	1.565597	0.367371	0.443607	0.970854	0.124328	0.495695	0.214125	0.604071	0.555816	0.659925	0.604071
ENSG00000180530	4.538538	3.890447	5.619706	3.286881	5.015248	3.550901	4.691534	5.672991	4.737687	6.100137	5.108106	3.817623	5.131754	4.077243	4.484138	3.703765	5.166715	3.514753	4.799087	4.997744	4.898692	3.41007	4.860963	5.201242	5.090007	5.130931	5.942749	4.041769	5.56864	5.141188	5.553361	3.784504	4.783457	5.942045	3.965323	5.82604	5.813268	3.878725	5.483171	5.139551	5.104756	4.900142	3.887525	4.983222	6.172528	5.689858	6.673556	4.586164	5.941811	5.31687	4.107688	5.414136	4.211012	5.125155	5.145677	4.135042	3.496974	4.517906
ENSG00000184515	1.084064	0.687061	0.163499	0.321928	0.367371	0.275007	0	0.790772	0.176323	0.214125	0.124328	0.137504	0.201634	0.163499	0.659925	0.333424	0	0.298658	0.650765	0	0	0.163499	0	0	0.163499	0.298658	0	0	0	0.15056	0.137504	0.475085	0.15056	0	0.356144	0.15056	0.189034	0.495695	0.214125	0.575312	0.124328	0.333424	0.163499	0	0	0.201634	0	0.464668	0	0.15056	0.713696	0.137504	0.15056	0.475085	0	0.344828	0.464668	0
ENSG00000188573	0	0.084064	0	0.464668	0.097611	0.137504	0	0.097611	0	0	0	0	0	0.505891	0.286881	0.056584	0	0	0.189034	0.097611	0.097611	0.084064	0	0.263034	0.084064	0	0	0	0.084064	0	0.275007	0.137504	0.163499	0.070389	0	0.084064	0.097611	0.097611	0	0	0	0.097611	0.163499	0.15056	0.084064	0	0	0	0	0	0.15056	0	0	0.189034	0	0.189034	0.176323	0.176323
ENSG00000223501	5.165912	5.387845	5.453188	5.635464	6.025472	5.127633	5.72465	5.287251	5.297558	5.128871	4.462052	5.035184	5.278357	5.653633	5.477677	4.792335	5.809414	5.375387	4.526069	5.22265	4.971773	5.612942	5.511911	4.484783	5.07382	3.78136	4.86839	4.991408	4.291309	5.943921	6.050719	5.755956	5.84147	5.226894	4.994127	5.414474	5.318317	5.717539	5.585263	5.509062	5.168722	5.82069	5.803227	5.91767	5.497612	5.436628	5.68874	5.241459	5.421897	5.516961	5.577731	5.268285	5.104756	4.929318	5.40973	5.739038	5.694323	5.651052
ENSG00000139218	6.080658	5.544733	5.504938	5.047451	5.778471	4.692092	5.749266	5.854494	5.66562	5.923625	4.827819	5.129283	5.92077	5.723012	6.122673	5.018367	5.752213	5.558574	6.392489	5.735793	5.687341	5.362119	5.962086	5.864681	5.636915	5.485105	5.75729	5.834661	5.31904	5.721919	6.306153	5.186263	5.848748	5.813525	4.976364	5.906169	6.416333	5.93546	6.31252	5.926237	5.488965	5.843733	5.64789	5.596041	5.954196	6.32571	5.963936	5.651339	5.720005	5.533563	5.624978	5.407013	5.932628	5.819668	5.726014	5.6522	5.380591	5.533875
ENSG00000179562	2.430285	1.659925	1.443607	1.678072	2.31034	1.432959	2.31034	2.01078	1.704872	2.217231	2.017922	1.831877	2.341986	2.100978	2.087463	1.327687	1.891419	1.970854	2.173127	2.684819	1.500802	1.922198	2.825786	2.364572	1.863938	1.903038	2.153805	1.85599	1.748461	2.451541	1.967169	1.682573	1.963474	2.035624	1.799087	1.937344	2.761285	2.204767	2.757023	2.130931	2.046142	2.435629	2.198494	2.286881	2.333424	2.094236	1.9855	2.028569	2.238787	2.134221	2.124328	2.046142	1.545968	1.952334	1.790772	2.367371	1.790772	2.495695
ENSG00000136636	3.968091	4.438293	3.678072	3.903038	3.252476	3.712596	3.250962	3.828835	2.788686	3.990047	2.493135	3.926948	3.493135	4.14323	4.103498	3.876762	3.615887	4.731183	4.830864	3.69933	4.891419	5.278357	3.612352	5.583459	4.408712	4.990955	4.408032	4.682573	4.308157	3.837943	4.169925	4.581954	4.30305	3.871844	3.75809	3.860963	3.760221	4.948601	3.240314	5.119356	3.709291	2.298658	4.831371	2.347666	3.747387	3.552131	4.414136	3.791814	4.089159	3.651913	4.279471	3.659925	3.427606	4.32625	4.15866	4.670727	4.870365	4.495695
ENSG00000166411	5.470211	5.001352	4.964861	5.267536	5.106013	5.538538	4.936873	4.544733	4.450221	4.737687	3.933573	5.355087	4.946263	5.682011	4.514122	5.096346	4.467932	5.29315	5.534809	5.0268	4.8089	5.754353	5.075105	5.554589	5.564683	5.249066	5.373648	5.641257	5.49857	4.509062	4.139961	4.798569	4.890447	5.103917	5.08151	4.927422	5.015694	4.798051	5.438626	6.414136	5.877008	4.895787	4.754353	4.962086	4.828835	4.990955	4.527321	5.372952	5.509696	6.817112	4.917432	6.713008	4.687061	5.54566	5.988685	4.800641	4.834408	5.0387
ENSG00000005893	6.27538	6.406673	6.523876	5.890203	6.481396	5.350497	6.530445	7.037053	6.318678	7.090324	5.817367	5.67948	6.537451	6.576371	6.305241	5.450881	6.233811	5.911692	6.989139	6.918148	6.229588	6.497772	6.900263	6.3535	6.259084	6.08449	6.733083	6.402415	6.497772	6.457791	6.55888	5.906891	6.335033	6.338781	5.67779	6.370687	7.373822	6.575464	7.500244	6.406673	6.341452	6.769507	6.555969	6.728873	7.102553	7.002703	7.207014	6.742815	6.8387	6.859721	6.450881	6.83099	6.691953	6.329303	6.799994	5.9479	6.273702	5.997292
ENSG00000155906	3.211012	2.604071	3.598127	3.051372	3.602884	2.482848	3.927896	3.116032	3.135863	3.030336	2.757023	2.032101	3.456806	2.967169	3.297191	2.500802	3.407353	2.815575	3.933573	2.967169	3.382667	2.594549	3.135863	3.642702	3.099295	3.179511	3.601697	3.0268	2.754888	3.78031	3.656496	2.95977	3.496974	3.047887	2.901108	2.99458	3.896272	3.431623	4.004501	3.229588	3.496974	3.503349	3.32625	3.932628	3.744161	4.082362	3.517276	3.618239	3.422233	3.439623	3.080658	3.206331	3.283922	2.454176	3.261531	3.176323	2.823749	3.080658
ENSG00000166387	4.573496	4.714246	4.510329	4.942045	5.033863	5.1152	4.427606	3.889474	4.684819	3.925999	3.876762	5.127633	4.510329	4.86839	4.871844	4.92077	4.835419	5.435962	3.784504	3.690417	3.808385	5.120186	3.62293	4.136684	5.372952	3.580145	4.040016	4.768714	5.138323	3.884598	3.738768	5.187847	4.42425	4.111866	4.652486	3.340562	4.09508	5.885818	4.354734	5.180705	5.081084	3.424922	5.026357	3.231125	5.078097	3.950468	4.478325	5.028569	5.321207	5.90641	5.471838	6.208088	2.62293	4.231893	4.680324	4.781884	5.289097	4.955127
ENSG00000149575	0.056584	0.084064	0.111031	0.411426	0.275007	0.731183	0.176323	0.097611	0.176323	0.15056	0.084064	0.286881	0.214125	0.659925	0.163499	1.292782	0.084064	0.15056	0.124328	0.189034	0.545968	0.201634	0.201634	0.042644	0.097611	0.042644	0.028569	0.250962	0.014355	0.070389	0.014355	0.807355	0.097611	0	0.495695	0.014355	0.226509	0.432959	0.31034	0.214125	0.084064	0.189034	0.378512	0.111031	0.250962	0.097611	0.298658	0.678072	0.238787	0.070389	0.555816	0.056584	0.400538	0.176323	0.411426	0.321928	0.432959	0.189034
ENSG00000125454	2.503349	1.157044	2.560715	1.521051	2.253989	1.718088	1.981853	1.863938	1.722466	1.38405	0.956057	1.448901	2.137504	1.691534	2.207893	0.713696	1.918386	1.906891	3.670161	2.289834	2.330558	1.475085	2.38405	2.003602	0.871844	1.475085	1.560715	1.22033	1.007196	2.263034	2.333424	1.594549	2.475085	2.111031	1.952334	1.918386	2.629939	1.565597	2.865919	1.589763	2.459432	1.843984	1.286881	1.709291	1.970854	3.687061	1.709291	1.545968	2.260026	1.691534	1.157044	2.003602	2.173127	2.495695	1.584963	2.163499	1.618239	1.803227
ENSG00000172236	3.486714	5.159064	5.772414	4.891905	5.28244	4.322649	3.745237	3.127633	4.217231	3.823749	3.145677	2.014355	5.563463	4.83289	4.922674	3.940167	4.123501	4.080658	2.782409	4.0268	5.370513	2.646163	3.931683	3.258519	2.130931	2.746313	3.298658	3.931683	3.060047	4.296457	2.618239	5.845741	4.759688	3.152183	5.263786	2.553361	3.250962	4.316146	4.025915	5.657354	4.041769	2.435629	3.608809	3.054848	3.791814	4.597531	3.845992	5.001352	5.587365	2.341986	3.891419	3.058316	0.782409	4.805292	2.889474	2.933573	3.861955	3.440952
ENSG00000187474	2.927896	3.046142	4.059182	2.599318	4.643279	2.526069	5.21529	3.748461	3.381283	3.80426	1.646163	2.204767	3.922198	2.361768	4.365273	1.292782	3.673556	1.981853	2.173127	4.694323	3.179511	1.867896	4.390943	3.834913	1.531069	1.405992	3.664483	3.140779	3.014355	3.734439	3.559492	2.032101	4.470537	2.782409	3.428946	2.813525	3.733354	2.157044	4.234195	2.01078	2.867896	2.93546	1.608809	2.803227	3.698218	5.508429	3.334854	3.730096	4.125982	3.15056	2.689299	3.521051	3.907852	2.545968	2.722466	2.726831	2.408712	2.693766
ENSG00000113749	1.157044	2.769772	1.933573	1.157044	2.160275	1.02148	2.166715	1.722466	2.070389	1.464668	0.731183	0.782409	2.541019	1.831877	2.31034	0.333424	2.127633	1.895303	1.144046	2.845992	3.434295	0.85599	2.500802	1.163499	0.555816	0.83996	1.541019	1.981853	0.713696	1.664483	1.169925	1.007196	2.85599	1.090853	2.419539	0.823749	1.952334	1.028569	1.752749	1.090853	1.526069	0.992768	0.879706	1.189034	1.298658	2.613532	1.201634	1.782409	1.580145	1.350497	1.077243	1.195348	1.372952	2.739848	1.280956	1.049631	1.104337	1.189034
ENSG00000132763	2.039138	1.565597	1.819668	3.18428	2.378512	2.558268	2.944858	1.422233	1.405992	1.726831	1.691534	1.992768	1.257011	2.464668	2.480265	2.608809	1.594549	2.942984	2.95977	2.594549	1.713696	1.956057	2.541019	2.02148	2.280956	2.327687	1.992768	2.693766	1.226509	2.801159	2.381283	2.662205	2.127633	1.967169	2.596935	2.596935	2.049631	2.620586	2.773996	2.114367	2.608809	2.761285	2.841973	2.570463	2.448901	1.782409	1.963474	2.646163	2.65306	2.752749	2.78031	2.435629	1.786596	2.160275	1.823749	1.41684	2.548437	1.62293
ENSG00000198585	2.38405	1.996389	1.773996	1.565597	1.618239	1.704872	1.887525	1.480265	1.510962	1.687061	1.510962	1.22033	2.238787	1.903038	1.922198	1.632268	1.422233	1.811471	1.014355	2.179511	3.502076	1.263034	1.811471	1.811471	1.104337	1.280956	1.464668	1.835924	1.244887	1.560715	1.580145	1.757023	2.207893	1.201634	1.722466	1.350497	1.049631	2.153805	1.372952	2.017922	1.238787	1.400538	1.895303	1.655352	1.350497	2.235727	1.819668	1.941106	1.454176	1.541019	2.046142	1.495695	1.405992	1.823749	1.378512	2.459432	1.709291	2.283922
ENSG00000101405	0.298658	0	0	0.321928	0.367371	0	0	0	0	0	0	0	0	0	0.669027	0	0	0	0	0	0.356144	0	0.367371	0	0	0.298658	0	0	0	0.526069	0	0.250962	0.286881	0.263034	0.632268	0	0	0	0.400538	0	0.443607	0	0.31034	0	0	0.659925	0	0	0	0	0	0	0	0	0.356144	0.632268	0	0
ENSG00000079277	5.080658	4.654206	4.521679	4.210233	4.560715	3.963474	4.725741	4.401903	4.293518	4.82069	3.549669	3.942045	4.361768	4.501439	4.848498	3.650765	4.725741	4.1127	4.560715	4.763412	5.113534	4.228819	4.849999	4.189034	3.847997	3.810443	4.913608	4.545968	4.027685	4.401221	4.503349	4.433627	4.706531	5.339494	4.759688	5.177519	4.98823	4.642124	5.312883	4.962549	4.460087	5.2791	4.31034	5.401903	4.618826	4.975905	5.074677	4.941106	4.729009	4.9331	4.587365	5.002252	3.611172	4.525443	4.344828	5.406673	4.204767	5.402245
ENSG00000170293	1.650765	2.615887	2.056584	1.895303	1.87578	1.531069	2.333424	2.003602	1.599318	1.992768	1.157044	1.669027	2.094236	1.914565	3.147307	1.226509	1.339137	3.393691	2.528571	1.731183	2.641546	2.017922	2.257011	1.550901	0.782409	0.565597	0.978196	1.38405	0.782409	1.505891	1.956057	1.9855	1.769772	2.545968	1.618239	2.759156	1.655352	2.538538	1.526069	1.432959	1.815575	1.042644	1.084064	0.970854	1	1.286881	1.819668	0.963474	0.933573	0.790772	1.480265	0.910733	1.459432	0.790772	0.678072	2.550901	1.918386	2.881665
ENSG00000153339	4.359662	5.241459	4.496335	4.478972	4.883621	4.264536	4.414136	4.223423	4.422233	4.50462	4.221104	4.628774	4.691534	4.78136	5.068671	4.360364	4.995937	4.93121	4.347666	5.22265	4.827819	4.934517	5.008541	5.607034	5.460087	5.275007	5.666473	5.505891	5.57198	5.238787	4.936873	4.663914	4.995937	4.741467	4.529196	4.575917	5.151372	5.171527	5.562548	4.798569	4.740928	5.024586	5.080231	4.791814	5.13381	5.174327	5.170726	4.887038	5.202418	5.089583	5.249066	5.001352	4.274262	4.85997	4.954662	4.355439	5.287989	4.489928
ENSG00000137842	4.084064	3.283922	3.378512	2.767655	3.49057	2.801159	2.771886	2.65764	3.229588	2.85997	1.748461	3.405992	3.129283	3.485427	3.856986	2.400538	3.122673	3.368768	3.127633	3.524816	3.237258	2.427606	2.693766	3.936402	3.710393	3.201634	3.776104	3.201634	3.037382	2.794936	2.283922	3.023255	3.218781	3.01078	2.65306	2.235727	3.235727	3.617063	3.432959	4.106013	3.22033	2.456806	3.819668	2.480265	3	3.673556	3.499527	2.903038	3.435629	3.92505	3.713696	3.928844	1.811471	2.803227	3.082362	3.489286	3.124328	3.401903
ENSG00000176165	1.823749	0.879706	0.31034	0	0	0.014355	0	0	0.111031	0	0	0	0	0.163499	0.201634	0	0.056584	0	0.495695	0.028569	0.163499	0	0.056584	0	0.028569	0	0	0	0	1.130931	1.263034	0	0.238787	0	0.042644	0	1.400538	0	1.028569	0	0	0	0	0	0	0	0.275007	0	0	0	0	0	0	0	0	0	0	0
